(-84.39243432, 33.78555358),
(-84.56583698, 34.04492326),
(-84.1887222, 33.77800428),
(-84.31748002, 33.99744677),
(-84.49864047, 33.58795519),
(-84.49936182, 33.96930331),
(-84.0270318, 33.93952005),
(-84.65127477, 33.86342701),
(-84.20581907, 33.88072722),
(-84.3067425, 34.0950282),
(-84.49343844, 33.67748769),
(-84.35337915, 33.83996637),
(-84.20997323, 34.04934917),
(-84.12165986, 33.89605694),
(-84.46068861, 33.87288228),
(-84.66533533, 34.02854091),
(-84.26900646, 33.80493377),
(-84.59802239, 33.57532781),
(-84.48329007, 33.7642774),
(-84.25580611, 33.69791265),
(-84.29249194, 33.89436389),
(-84.42989133, 34.0319966),
(-84.40709909, 33.70376211),
(-84.61021641, 33.95125445),
(-84.07809582, 33.79082151),
(-84.1475097, 33.69832358),
(-84.33485163, 33.7540005),
(-84.56074271, 33.87867265),
(-84.22972621, 33.95674209),
(-84.36471269, 33.92452672),
