(-84.446198, 33.640553),
(-84.387414, 33.789669),
(-84.41723, 33.756478),
(-84.281487, 33.775554),
(-84.428873, 33.772159),
(-84.339245, 33.860329),
(-84.367716, 33.847944),
(-84.305556, 33.887929),
(-84.387504, 33.766111),
(-84.448612, 33.650282),
(-84.295417, 33.774699),
(-84.397215, 33.756179),
(-84.28061, 33.902787),
(-84.344268, 33.92113),
(-84.312937, 33.765241),
(-84.440542, 33.677424),
(-84.340825, 33.761803),
(-84.39156, 33.753899),
(-84.395741, 33.748696),
(-84.385915, 33.750161),
(-84.469824, 33.754517),
(-84.228906, 33.769856),
(-84.352762, 33.757451),
(-84.251607, 33.772647),
(-84.375675, 33.749951),
(-84.428768, 33.70088),
(-84.358235, 33.845388),
(-84.369313, 33.823501),
(-84.35189, 33.910757),
(-84.386342, 33.781247),
(-84.387258, 33.771472),
(-84.357275, 33.94495),
(-84.42503, 33.7173),
(-84.387595, 33.758082),
(-84.351069, 33.931671),
(-84.403902, 33.756613),
(-84.413653, 33.736564),
(-84.445568, 33.753247),
(-84.321837, 34.040119),
(-84.137274, 33.705968),
(-84.548713, 33.589076),
(-84.358125, 33.572306),
(-84.325321, 33.644274),
(-84.247208, 33.669692),
(-84.585516, 33.723549),
(-84.418154, 33.536876),
(-84.25215, 34.0613),
(-84.357707, 33.506489),
(-84.604923, 33.549047),
(-84.342723, 33.448848),
(-84.667191, 33.521085),
(-84.272498, 33.833683),
(-84.308166, 33.70673),
(-84.194302, 33.821117),
(-84.506394, 33.70415),
(-84.469255, 33.584586),
(-84.424701, 33.911219)
